datathrough,season,teamname,seed,confshort,coach,wins,losses,adjem,rankadjem,pythag,rankpythag,adjoe,rankadjoe,oe,rankoe,adjde,rankadjde,de,rankde,tempo,ranktempo,adjtempo,rankadjtempo,luck,rankluck,sos,ranksos,soso,ranksoso,sosd,ranksosd,ncsos,rankncsos,event,apl_off,rankapl_off,apl_def,rankapl_def,confapl_off,rankconfapl_off,confapl_def,rankconfapl_def,team_name,conference_name,source_name,source_endpoint,load_timestamp_utc,datathrough_four_factors,confonly,teamname_four_factors,efg_pct,rankefg_pct,to_pct,rankto_pct,or_pct,rankor_pct,ft_rate,rankft_rate,defg_pct,rankdefg_pct,dto_pct,rankdto_pct,dor_pct,rankdor_pct,dft_rate,rankdft_rate,oe_four_factors,rankoe_four_factors,de_four_factors,rankde_four_factors,tempo_four_factors,ranktempo_four_factors,adjoe_four_factors,rankadjoe_four_factors,adjde_four_factors,rankadjde_four_factors,adjtempo_four_factors,rankadjtempo_four_factors,conference_name_four_factors,source_name_four_factors,source_endpoint_four_factors,load_timestamp_utc_four_factors,datathrough_point_distribution,confonly_point_distribution,teamname_point_distribution,confshort_point_distribution,offft,rankoffft,offfg2,rankofffg2,offfg3,rankofffg3,defft,rankdefft,deffg2,rankdeffg2,deffg3,rankdeffg3,conference_name_point_distribution,source_name_point_distribution,source_endpoint_point_distribution,load_timestamp_utc_point_distribution,datathrough_height,teamname_height,confshort_height,avghgt,avghgtrank,hgteff,hgteffrank,hgt5,hgt5rank,hgt4,hgt4rank,hgt3,hgt3rank,hgt2,hgt2rank,hgt1,hgt1rank,exp,exprank,bench,benchrank,continuity,rankcontinuity,conference_name_height,source_name_height,source_endpoint_height,load_timestamp_utc_height,datathrough_misc_stats,confonly_misc_stats,teamname_misc_stats,confshort_misc_stats,fg3pct,rankfg3pct,fg2pct,rankfg2pct,ftpct,rankftpct,blockpct,rankblockpct,stlrate,rankstlrate,nstrate,ranknstrate,arate,rankarate,f3grate,rankf3grate,adjoe_misc_stats,rankadjoe_misc_stats,avg2padist,rankavg2padist,oppfg3pct,rankoppfg3pct,oppfg2pct,rankoppfg2pct,oppftpct,rankoppftpct,oppblockpct,rankoppblockpct,oppstlrate,rankoppstlrate,oppnstrate,rankoppnstrate,opparate,rankopparate,oppf3grate,rankoppf3grate,adjde_misc_stats,rankadjde_misc_stats,oppavg2padist,rankoppavg2padist,conference_name_misc_stats,source_name_misc_stats,source_endpoint_misc_stats,load_timestamp_utc_misc_stats,teamname_teams,teamid,confshort_teams,coach_teams,arena,arenacity,arenastate,conference_name_teams,source_name_teams,source_endpoint_teams,load_timestamp_utc_teams
"Sunday, March 8",2026,Eastern Washington,0,BSky,Dan Monson,13,18,0.4257,166,0.5108,166,113.84,102,112.214,100,113.414,256,113.672,304,68.8296,156,67.6446,164,-0.0722,338,1.2397,129,110.402,118,109.162,158,7.7672,40,,17.26,143,17.59,196,17.38,6,18.31,10,Eastern Washington,BSky,KenPom,ratings,2026-03-09T11:10:27,"Sunday, March 8",False,Eastern Washington,54.0346,69,17.8699,261,31.4969,144,35.2738,178,54.8986,325,16.5249,186,31.5126,226,36.5797,226,112.214,100,113.672,304,68.8296,156,113.84,102,113.414,256,67.6446,164,BSky,KenPom,four-factors,2026-03-09T11:17:31,"Sunday, March 8",False,Eastern Washington,BSky,19.6314,190,52.2075,87,28.1612,256,20.1854,156,49.4732,156,30.3413,224,BSky,KenPom,pointdist,2026-03-09T11:21:31,"Sunday, March 8",Eastern Washington,BSky,76.7,283,0.21,146,-0.19,197,0.6,108,-0.92,297,-1.77,348,-1.07,288,1.1968,240,33.79,131,0.2118,193,BSky,KenPom,height,2026-03-09T11:23:24,"Sunday, March 8",False,Eastern Washington,BSky,36.4393,43,53.7037,99,74.8366,93,9.9142,141,0.0889,226,7.1095,174,48.6715,275,34.6398,280,113.84,102,6.527,283,35.503,273,55.9581,326,75.9113,344,8.2011,81,0.1076,307,7.6379,132,50.5441,129,39.1884,174,113.414,256,5.451,301,BSky,KenPom,misc-stats,2026-03-09T11:25:27,Eastern Washington,80,BSky,Dan Monson,Reese Court,Cheney,WA,BSky,KenPom,teams,2026-03-09T11:27:17
"Sunday, March 8",2026,Idaho,0,BSky,Alex Pribble,19,14,0.5991,165,0.5158,165,109.232,176,110.425,129,108.633,155,107.698,157,69.0654,145,67.5956,169,-0.0225,246,-1.3037,191,109.779,149,111.082,229,1.1034,161,,17.8,214,17.13,84,16.99,3,17.59,6,Idaho,BSky,KenPom,ratings,2026-03-09T11:10:27,"Sunday, March 8",False,Idaho,51.9586,156,15.3279,87,29.0741,234,33.5758,225,50.8494,149,15.1357,278,24.6589,6,39.0158,285,110.425,129,107.698,157,69.0654,145,109.232,176,108.633,155,67.5956,169,BSky,KenPom,four-factors,2026-03-09T11:17:31,"Sunday, March 8",False,Idaho,BSky,19.085,225,42.3529,340,38.5621,27,22.2919,71,48.4333,204,29.2748,265,BSky,KenPom,pointdist,2026-03-09T11:21:31,"Sunday, March 8",Idaho,BSky,77.25,199,0.22,142,0.73,93,-0.28,212,-0.55,259,-0.58,258,0.07,179,1.568,146,31.75,185,0.3314,106,BSky,KenPom,height,2026-03-09T11:23:24,"Sunday, March 8",False,Idaho,BSky,34.8288,138,51.7021,183,73.0,171,6.4546,328,0.0798,301,6.1984,56,45.5826,328,47.3979,30,109.232,176,5.832,148,35.9143,298,49.1818,72,74.7748,302,9.1489,162,0.0913,136,7.1594,192,46.1133,36,35.5595,62,108.633,155,6.856,25,BSky,KenPom,misc-stats,2026-03-09T11:25:27,Idaho,116,BSky,Alex Pribble,ICCU Arena,Moscow,ID,BSky,KenPom,teams,2026-03-09T11:27:17
"Sunday, March 8",2026,Idaho St.,0,BSky,Ryan Looney,13,20,-7.0191,249,0.3289,245,109.698,165,109.337,156,116.717,315,115.599,329,67.0283,246,65.6087,278,-0.0353,290,-0.2887,165,109.451,163,109.739,175,3.7957,96,,19.0,331,16.94,55,18.52,9,17.46,5,Idaho State,BSky,KenPom,ratings,2026-03-09T11:10:27,"Sunday, March 8",False,Idaho St.,51.8496,160,16.9882,206,32.7801,96,37.9475,104,54.4781,314,14.7099,308,27.8204,68,37.9597,263,109.337,156,115.599,329,67.0283,246,109.698,165,116.717,315,65.6087,278,BSky,KenPom,four-factors,2026-03-09T11:17:31,"Sunday, March 8",False,Idaho St.,BSky,21.3219,100,46.6274,248,32.0507,162,21.0572,105,51.2248,84,27.7181,306,BSky,KenPom,pointdist,2026-03-09T11:21:31,"Sunday, March 8",Idaho St.,BSky,77.53,153,-0.18,199,-0.08,183,-0.28,211,0.95,71,1.59,24,-1.38,313,0.7804,327,33.82,129,0.2566,161,BSky,KenPom,height,2026-03-09T11:23:24,"Sunday, March 8",False,Idaho St.,BSky,33.6182,199,52.8747,136,74.0566,131,11.1947,80,0.0768,321,6.7854,134,46.8708,304,41.8854,137,109.698,165,5.257,73,34.5104,214,56.0677,330,76.5625,355,8.8296,138,0.102,262,7.033,208,48.3354,75,36.9514,97,116.717,315,5.662,263,BSky,KenPom,misc-stats,2026-03-09T11:25:27,Idaho St.,117,BSky,Ryan Looney,Reed Gym,Pocatello,ID,BSky,KenPom,teams,2026-03-09T11:27:17
"Sunday, March 8",2026,Montana,0,BSky,Travis DeCuire,16,15,-1.899,187,0.4494,188,106.658,222,106.766,215,108.557,153,109.217,200,70.7917,64,69.24,83,0.0292,112,0.0458,155,110.837,109,110.792,218,5.7799,63,,17.14,125,16.69,30,17.35,5,17.27,2,Montana,BSky,KenPom,ratings,2026-03-09T11:10:27,"Sunday, March 8",False,Montana,55.7798,29,19.6717,340,21.2974,361,35.7729,167,51.4097,179,14.963,292,29.3882,133,31.6137,93,106.766,215,109.217,200,70.7917,64,106.658,222,108.557,153,69.24,83,BSky,KenPom,four-factors,2026-03-09T11:17:31,"Sunday, March 8",False,Montana,BSky,19.8526,176,47.2727,233,32.8747,139,17.9512,286,51.6036,73,30.4452,217,BSky,KenPom,pointdist,2026-03-09T11:21:31,"Sunday, March 8",Montana,BSky,77.33,188,-1.1,320,-1.46,320,-0.74,277,-0.65,271,0.56,110,2.06,20,1.0044,283,28.12,276,0.2734,152,BSky,KenPom,height,2026-03-09T11:23:24,"Sunday, March 8",False,Montana,BSky,36.7381,35,56.2573,43,77.2467,27,6.4923,325,0.0795,305,7.9524,268,56.9602,75,41.5185,142,106.658,222,5.915,169,33.3858,146,52.2287,209,71.1575,107,9.1228,159,0.1172,348,7.0107,211,49.534,107,38.0924,138,108.557,153,6.09,155,BSky,KenPom,misc-stats,2026-03-09T11:25:27,Montana,179,BSky,Travis DeCuire,Dahlberg Arena,Missoula,MT,BSky,KenPom,teams,2026-03-09T11:27:17
"Sunday, March 8",2026,Montana St.,0,BSky,Matt Logie,18,14,2.9993,132,0.578,132,111.098,138,111.381,113,108.099,142,108.133,171,67.3584,231,66.003,262,-0.0827,346,0.3405,151,110.944,104,110.603,207,6.7051,48,,18.41,279,17.38,142,18.41,8,17.62,7,Montana State,BSky,KenPom,ratings,2026-03-09T11:10:27,"Sunday, March 8",False,Montana St.,53.6031,83,14.7202,51,27.0382,294,30.2422,305,51.6539,197,15.6846,245,28.2353,74,29.5924,52,111.381,113,108.133,171,67.3584,231,111.098,138,108.099,142,66.003,262,BSky,KenPom,four-factors,2026-03-09T11:17:31,"Sunday, March 8",False,Montana St.,BSky,17.2744,301,45.3965,282,37.3291,42,17.9644,285,54.0338,24,28.0019,294,BSky,KenPom,pointdist,2026-03-09T11:21:31,"Sunday, March 8",Montana St.,BSky,77.38,179,-0.31,216,-0.94,275,0.32,138,0.24,146,-0.37,224,0.79,110,0.7296,338,31.06,196,0.2111,194,BSky,KenPom,height,2026-03-09T11:23:24,"Sunday, March 8",False,Montana St.,BSky,36.1111,55,53.1483,129,74.0234,134,7.2842,302,0.0964,164,6.8525,142,39.9481,363,44.6545,73,111.098,138,6.534,285,34.2513,191,51.7986,185,76.4471,354,7.4707,27,0.0787,33,6.0403,323,43.2258,12,34.3178,38,108.099,142,5.785,227,BSky,KenPom,misc-stats,2026-03-09T11:25:27,Montana St.,180,BSky,Matt Logie,Worthington Arena,Bozeman,MT,BSky,KenPom,teams,2026-03-09T11:27:17
"Sunday, March 8",2026,Northern Arizona,0,BSky,Shane Burcar,10,22,-14.439,320,0.1859,320,105.361,253,104.048,271,119.8,344,118.863,352,65.5099,321,63.9234,340,0.0306,109,-0.7176,174,109.809,146,110.526,205,0.493,182,,18.59,301,17.78,248,19.25,10,18.18,9,Northern Arizona,BSky,KenPom,ratings,2026-03-09T11:10:27,"Sunday, March 8",False,Northern Arizona,51.6804,167,16.0018,135,23.3051,348,31.7692,264,56.8987,355,16.5808,182,33.3696,309,32.7228,119,104.048,271,118.863,352,65.5099,321,105.361,253,119.8,344,63.9234,340,BSky,KenPom,four-factors,2026-03-09T11:17:31,"Sunday, March 8",False,Northern Arizona,BSky,17.4684,291,51.2405,117,31.2911,187,17.1924,310,48.956,184,33.8516,88,BSky,KenPom,pointdist,2026-03-09T11:21:31,"Sunday, March 8",Northern Arizona,BSky,76.59,301,-0.83,293,-1.31,311,-0.36,232,-0.4,251,-0.4,231,-1.44,315,1.084,264,40.05,25,0.2097,196,BSky,KenPom,height,2026-03-09T11:23:24,"Sunday, March 8",False,Northern Arizona,BSky,35.6401,79,50.6507,230,68.8623,301,7.8411,270,0.0969,160,7.5798,232,50.9831,219,36.6519,235,105.361,253,6.045,192,38.7195,362,56.11,332,72.2015,168,8.9089,143,0.0842,70,6.8955,233,49.9379,115,40.0488,202,119.8,344,5.178,342,BSky,KenPom,misc-stats,2026-03-09T11:25:27,Northern Arizona,206,BSky,Shane Burcar,Walkup Skydome,Flagstaff,AZ,BSky,KenPom,teams,2026-03-09T11:27:17
"Sunday, March 8",2026,Northern Colorado,0,BSky,Steve Smiley,20,11,2.4085,136,0.5621,136,112.075,123,113.36,86,109.666,186,109.012,198,69.861,101,68.6716,111,-0.0141,225,-1.749,207,109.631,153,111.38,237,0.2374,190,,16.96,102,17.46,169,16.75,2,17.78,8,Northern Colorado,BSky,KenPom,ratings,2026-03-09T11:10:27,"Sunday, March 8",False,Northern Colorado,55.9377,28,15.8162,119,27.1834,291,27.2781,350,49.7331,88,12.4019,363,24.2545,5,38.3155,270,113.36,86,109.012,198,69.861,101,112.075,123,109.666,186,68.6716,111,BSky,KenPom,four-factors,2026-03-09T11:17:31,"Sunday, March 8",False,Northern Colorado,BSky,15.6098,353,51.2639,114,33.1264,134,22.6833,55,52.5588,51,24.758,352,BSky,KenPom,pointdist,2026-03-09T11:21:31,"Sunday, March 8",Northern Colorado,BSky,77.57,144,0.37,129,-0.12,186,0.86,68,0.27,143,-0.81,284,0.79,110,2.0597,51,23.31,338,0.3957,65,BSky,KenPom,height,2026-03-09T11:23:24,"Sunday, March 8",False,Northern Colorado,BSky,35.1199,115,58.2661,22,75.8621,60,7.1103,307,0.0567,365,7.0294,165,53.5671,148,41.6814,138,112.075,123,4.973,40,30.3905,24,51.9599,199,76.161,350,7.4597,25,0.0879,100,6.7282,254,38.0507,3,34.9348,45,109.666,186,5.513,293,BSky,KenPom,misc-stats,2026-03-09T11:25:27,Northern Colorado,207,BSky,Steve Smiley,Bank of Colorado Arena,Greeley,CO,BSky,KenPom,teams,2026-03-09T11:27:17
"Sunday, March 8",2026,Portland St.,0,BSky,Jase Coburn,20,10,1.8573,141,0.5516,141,104.006,273,106.386,223,102.149,47,102.037,47,68.8436,155,67.9513,145,0.025,125,-1.6398,201,110.261,126,111.901,268,1.8777,134,,17.85,220,17.03,71,18.11,7,17.28,3,Portland State,BSky,KenPom,ratings,2026-03-09T11:10:27,"Sunday, March 8",False,Portland St.,51.287,185,17.2143,222,29.8813,207,37.0656,134,48.3568,48,17.7472,114,26.7896,33,42.6559,334,106.386,223,102.037,47,68.8436,155,104.006,273,102.149,47,67.9513,145,BSky,KenPom,four-factors,2026-03-09T11:17:31,"Sunday, March 8",False,Portland St.,BSky,20.2202,162,53.0531,63,26.7267,296,24.8567,9,46.0657,292,29.0776,272,BSky,KenPom,pointdist,2026-03-09T11:21:31,"Sunday, March 8",Portland St.,BSky,78.04,81,0.33,133,-0.04,180,0.71,80,1.33,42,0.23,149,1.11,82,1.4124,191,23.96,334,0.4265,46,BSky,KenPom,height,2026-03-09T11:23:24,"Sunday, March 8",False,Portland St.,BSky,33.5217,201,51.8084,179,70.1389,267,11.3687,69,0.1045,108,7.4613,215,51.8362,193,34.1699,291,104.006,273,5.566,110,31.7949,56,48.7859,59,75.0,313,7.6246,33,0.0975,221,7.3014,174,53.0255,202,39.2354,177,102.149,47,6.37,91,BSky,KenPom,misc-stats,2026-03-09T11:25:27,Portland St.,229,BSky,Jase Coburn,Viking Pavilion,Portland,OR,BSky,KenPom,teams,2026-03-09T11:27:17
"Sunday, March 8",2026,Sacramento St.,0,BSky,Mike Bibby,10,21,-8.3125,265,0.2957,266,106.025,233,104.287,267,114.338,277,114.834,319,72.2908,21,71.7965,13,-0.0222,245,1.7383,119,110.924,105,109.185,160,9.1918,24,,15.96,29,17.22,107,16.02,1,17.11,1,Sacramento State,BSky,KenPom,ratings,2026-03-09T11:10:27,"Sunday, March 8",False,Sacramento St.,47.0291,337,14.0675,23,25.2133,335,41.2359,46,55.0379,328,17.1171,147,33.4356,310,36.226,217,104.287,267,114.834,319,72.2908,21,106.025,233,114.338,277,71.7965,13,BSky,KenPom,four-factors,2026-03-09T11:17:31,"Sunday, March 8",False,Sacramento St.,BSky,25.5059,4,47.5294,226,26.9647,290,19.2653,218,46.903,263,33.8317,90,BSky,KenPom,pointdist,2026-03-09T11:21:31,"Sunday, March 8",Sacramento St.,BSky,77.25,200,-0.8,287,-1.25,305,-0.35,231,-0.05,186,-0.44,235,1.47,59,0.9759,288,32.41,169,0.0,347,BSky,KenPom,height,2026-03-09T11:23:24,"Sunday, March 8",False,Sacramento St.,BSky,31.8865,288,46.5867,339,78.098,17,7.764,276,0.1038,112,4.8695,4,48.8506,270,35.5912,260,106.025,233,6.329,258,35.1531,253,56.8323,340,72.508,186,8.4871,104,0.092,143,6.7386,252,57.9336,313,43.7391,318,114.338,277,4.478,365,BSky,KenPom,misc-stats,2026-03-09T11:25:27,Sacramento St.,243,BSky,Mike Bibby,Hornet Pavilion,Sacramento,CA,BSky,KenPom,teams,2026-03-09T11:27:17
"Sunday, March 8",2026,Weber St.,0,BSky,Eric Duft,16,15,-2.4383,193,0.4383,192,111.838,129,111.72,108,114.276,274,111.58,261,69.8527,102,68.5908,117,-0.02,239,-1.6775,202,108.533,214,110.211,195,-0.6692,214,,17.07,116,17.23,111,17.33,4,17.33,4,Weber State,BSky,KenPom,ratings,2026-03-09T11:10:27,"Sunday, March 8",False,Weber St.,51.6408,170,15.7844,116,32.0388,127,39.0328,81,54.3017,309,16.2228,215,27.5258,56,35.8869,208,111.72,108,111.58,261,69.8527,102,111.838,129,114.276,274,68.5908,117,BSky,KenPom,four-factors,2026-03-09T11:17:31,"Sunday, March 8",False,Weber St.,BSky,21.5223,89,52.4934,80,25.9843,312,19.4493,202,51.8357,65,28.715,278,BSky,KenPom,pointdist,2026-03-09T11:21:31,"Sunday, March 8",Weber St.,BSky,76.24,337,-1.28,329,-1.65,336,-0.91,296,0.06,169,-0.4,232,-2.75,352,1.1542,250,34.52,113,0.3657,91,BSky,KenPom,height,2026-03-09T11:23:24,"Sunday, March 8",False,Weber St.,BSky,34.7979,140,51.3699,199,72.5664,185,4.2348,363,0.0984,142,6.5768,99,46.6165,306,32.7576,321,111.838,129,5.177,60,33.2827,137,57.0741,343,73.0706,224,11.1301,314,0.0921,145,6.382,296,49.8768,113,38.7743,156,114.276,274,5.545,289,BSky,KenPom,misc-stats,2026-03-09T11:25:27,Weber St.,336,BSky,Eric Duft,Dee Events Center,Ogden,UT,BSky,KenPom,teams,2026-03-09T11:27:17
